t,PEOPLEUSDT_PERP.A_fr,OMGUSDT_PERP.A_fr,BALUSDT_PERP.A_fr,RENUSDT_PERP.A_fr,CRVUSDT_PERP.A_fr,STORJUSDT_PERP.A_fr,RLCUSDT_PERP.A_fr,SXPUSDT_PERP.A_fr,KAVAUSDT_PERP.A_fr,RSRUSDT_PERP.A_fr,MTLUSDT_PERP.A_fr,DOGEUSDT_PERP.A_fr,BANDUSDT_PERP.A_fr,WAVESUSDT_PERP.A_fr,KSMUSDT_PERP.A_fr,ALGOUSDT_PERP.A_fr,MATICUSDT_PERP.A_fr,KNCUSDT_PERP.A_fr,ZILUSDT_PERP.A_fr,BLZUSDT_PERP.A_fr,NEARUSDT_PERP.A_fr,AVAXUSDT_PERP.A_fr,MKRUSDT_PERP.A_fr,SNXUSDT_PERP.A_fr,ENJUSDT_PERP.A_fr,ZRXUSDT_PERP.A_fr,FLMUSDT_PERP.A_fr,FTMUSDT_PERP.A_fr,UNIUSDT_PERP.A_fr,SKLUSDT_PERP.A_fr,TRBUSDT_PERP.A_fr,TRXUSDT_PERP.A_fr,BNBUSDT_PERP.A_fr,XRPUSDT_PERP.A_fr,NEOUSDT_PERP.A_fr,EOSUSDT_PERP.A_fr,ETCUSDT_PERP.A_fr,BTCUSDT_PERP.A_fr,LTCUSDT_PERP.A_fr,XLMUSDT_PERP.A_fr,LINKUSDT_PERP.A_fr,ETHUSDT_PERP.A_fr,BCHUSDT_PERP.A_fr,ADAUSDT_PERP.A_fr,XMRUSDT_PERP.A_fr,DASHUSDT_PERP.A_fr,ZECUSDT_PERP.A_fr,ONTUSDT_PERP.A_fr,ATOMUSDT_PERP.A_fr,XTZUSDT_PERP.A_fr,IOTAUSDT_PERP.A_fr,BATUSDT_PERP.A_fr,VETUSDT_PERP.A_fr,QTUMUSDT_PERP.A_fr,IOSTUSDT_PERP.A_fr,THETAUSDT_PERP.A_fr,AUDIOUSDT_PERP.A_fr,SUSHIUSDT_PERP.A_fr,COMPUSDT_PERP.A_fr,RUNEUSDT_PERP.A_fr,DOTUSDT_PERP.A_fr,FILUSDT_PERP.A_fr,AAVEUSDT_PERP.A_fr,UNFIUSDT_PERP.A_fr,GRTUSDT_PERP.A_fr,DEFIUSDT_PERP.A_fr,GTCUSDT_PERP.A_fr,YFIUSDT_PERP.A_fr,LRCUSDT_PERP.A_fr,SOLUSDT_PERP.A_fr,EGLDUSDT_PERP.A_fr,ICXUSDT_PERP.A_fr,OCEANUSDT_PERP.A_fr,ROSEUSDT_PERP.A_fr,OGNUSDT_PERP.A_fr,BELUSDT_PERP.A_fr,CTKUSDT_PERP.A_fr,AXSUSDT_PERP.A_fr,MASKUSDT_PERP.A_fr,ALPHAUSDT_PERP.A_fr,ZENUSDT_PERP.A_fr,BAKEUSDT_PERP.A_fr,1INCHUSDT_PERP.A_fr,LINAUSDT_PERP.A_fr,CELOUSDT_PERP.A_fr,GALAUSDT_PERP.A_fr,CELRUSDT_PERP.A_fr,DGBUSDT_PERP.A_fr,REEFUSDT_PERP.A_fr,ANKRUSDT_PERP.A_fr,CHZUSDT_PERP.A_fr,LPTUSDT_PERP.A_fr,ALICEUSDT_PERP.A_fr,1000SHIBUSDT_PERP.A_fr,SANDUSDT_PERP.A_fr,RVNUSDT_PERP.A_fr,SFPUSDT_PERP.A_fr,LITUSDT_PERP.A_fr,XEMUSDT_PERP.A_fr,ATAUSDT_PERP.A_fr,HOTUSDT_PERP.A_fr,STMXUSDT_PERP.A_fr,C98USDT_PERP.A_fr,ARUSDT_PERP.A_fr,MANAUSDT_PERP.A_fr,ONEUSDT_PERP.A_fr,HBARUSDT_PERP.A_fr,CHRUSDT_PERP.A_fr,DYDXUSDT_PERP.A_fr,COTIUSDT_PERP.A_fr,DENTUSDT_PERP.A_fr,NKNUSDT_PERP.A_fr,IOTXUSDT_PERP.A_fr,CTSIUSDT_PERP.A_fr,1000XECUSDT_PERP.A_fr,ENSUSDT_PERP.A_fr,KLAYUSDT_PERP.A_fr,ARPAUSDT_PERP.A_fr,ANTUSDT_PERP.A_fr
2022-01-02,0.01,0.01,0.01,0.01,0.01,-0.019553,0.01,0.01,0.01,0.01,-0.022005,0.01,0.01,0.01,0.005164,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.007524,0.01,0.01,0.01,0.01,0.006714,0.01,0.01,-0.036424,0.01,0.01,0.01,0.01,0.01,0.01,0.000161,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.023248,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.095706,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.094578,-0.058327,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00578,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.085688,0.01,0.01,0.01,0.01
2022-01-03,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.007394,0.01,0.01,-0.00954,0.01,0.01,0.01,0.000847,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.004112,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.08339,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.014812,-0.064195,0.006514,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.008957,0.01,0.01,0.01,0.01
2022-01-04,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.008842,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.040237,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.06363,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.011237,-0.088704,0.01,0.01,0.01,0.01,0.01,0.01,0.009667,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.049702,0.01,0.01,0.01,0.01
2022-01-05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.000951,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.026333,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.063431,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.004018,0.01,0.01,-0.062512,0.01,0.01,0.01,0.01,0.01,0.01,-0.031695,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.108208,0.01,0.01,0.01,0.01
2022-01-06,0.01,0.01,-0.075603,0.01,0.01,0.007112,0.008475,0.01,0.01,0.01,0.01,0.008787,0.01,0.01,0.002634,0.01,0.006256,-0.023679,0.01,0.01,0.01,0.01,-0.013999,0.01,0.008532,0.01,0.01,0.01,0.01,0.01,0.01,-0.003135,0.0,0.01,0.01,0.01,0.008732,0.01,0.01,0.01,0.01,0.004332,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.00451,-0.018838,0.01,0.01,-0.008581,0.008039,0.01,0.01,0.01,-0.071464,0.00515,0.01,0.01,0.01,0.01,-0.004106,0.01,0.01,0.01,0.01,0.01,0.01,-0.001732,0.01,0.009545,0.01,0.01,-0.111536,0.01,0.01,0.01,0.01,-6.6e-05,0.01,0.01,0.01,0.01,0.01,-0.062722,-0.00201,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.049507,0.01,0.01,0.01,0.002925,0.01,-0.007719,0.01,0.009564,-0.021945,0.000598,0.01,0.01,-0.040119,0.01,0.01,0.004942,0.01,0.01,0.002022,0.01
2022-01-07,0.01,0.01,-0.021823,0.01,-0.001501,-0.013198,0.01,0.01,-0.006954,-0.018468,-0.004503,-0.009159,0.01,0.01,-0.010466,0.01,0.002559,0.009192,0.01,0.01,0.01,0.01,0.01,0.01,-0.019262,0.01,0.01,0.01,0.01,0.01,0.01,0.003458,0.0,0.01,0.01,0.01,0.01,0.01,0.008625,0.01,0.01,0.01,0.01,0.01,-0.030988,0.01,0.01,0.01,-0.004218,0.01,0.01,-0.019753,0.01,0.01,-0.03429,0.01,0.01,0.01,0.01,-0.013422,0.01,0.008127,0.01,0.01,0.01,0.001674,0.01,0.01,0.01,0.01,0.01,0.01,-0.011144,0.01,0.01,0.01,0.01,-0.046936,0.01,0.01,0.01,0.01,-0.018898,0.01,0.01,0.01,0.009576,-0.003631,-0.056505,-0.046771,0.01,0.00282,0.01,0.01,0.01,0.01,0.01,0.01,-0.034371,0.01,0.01,0.01,-0.023534,0.01,0.01,0.00628,0.01,0.01,-0.004491,0.01,0.01,-0.007903,0.01,0.01,-0.059862,0.01,0.01,0.01,0.01
2022-01-08,0.01,0.01,0.006047,0.01,0.009389,0.008448,0.01,0.01,-0.003169,-0.014498,-0.207833,-0.00239,0.01,0.01,-0.009115,0.01,0.001038,-0.010188,0.008718,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.008977,0.00474,0.01,0.01,0.01,0.01,0.003708,-0.003694,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.02044,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.079116,0.01,0.01,0.01,0.01,-0.003927,0.01,0.01,0.01,0.01,-0.02076,-0.037078,-0.023142,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.014025,0.01,0.01,-0.009638,0.01,0.01,0.01,-0.023417,-0.018134,-0.001142,0.001211,-0.005532,0.01,0.01,0.01,0.01,-0.071273,0.01,0.01,0.007973,0.01
2022-01-09,0.01,0.01,0.01,0.01,0.01,-0.047593,-0.001626,0.01,0.01,-0.021907,0.001007,-0.01026,0.01,0.01,-0.015544,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.00698,0.01,0.01,0.01,0.01,0.00547,0.01,0.01,-0.018693,0.01,0.01,0.01,0.01,0.01,0.01,-0.008332,0.01,0.01,-0.031106,0.01,0.01,0.01,0.01,0.006342,0.01,0.01,0.01,0.01,0.01,0.009801,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.066647,0.01,0.01,0.01,0.01,-0.001354,0.01,0.01,0.01,0.01,0.01,0.005971,-0.038244,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.071754,0.01,0.01,0.01,-0.033193,0.01,0.01,0.001671,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.195287,0.01,0.01,0.01,0.01
2022-01-10,0.01,0.01,0.01,0.005749,0.01,-0.014452,0.000464,-0.003408,-0.022605,-0.027637,-0.040182,-0.037477,0.01,0.01,-0.016729,0.01,0.01,-0.030854,0.01,0.01,0.01,0.01,0.00628,0.01,-0.001847,0.01,0.01,0.01,0.01,0.01,0.01,0.008642,0.0,0.003203,0.01,0.008828,-0.000176,0.01,0.006487,0.001526,0.01,0.001599,0.01,0.008503,0.01,0.01,0.01,0.01,0.01,0.01,-0.045935,-0.00221,0.01,0.01,0.00098,0.01,-0.000273,0.008457,0.01,0.01,-0.008451,0.008501,0.01,0.01,0.01,0.000545,0.01,0.00059,0.01,0.01,0.01,0.01,0.004593,0.01,0.001089,0.01,0.01,-0.071401,0.01,0.00336,0.01,0.00859,-0.017284,0.007141,0.01,0.01,0.01,-0.022504,-0.047418,-0.078956,0.009503,0.01,0.01,0.006585,-0.014705,0.01,0.01,0.01,-0.0232,0.01,0.01,0.01,-0.022997,0.01,-0.006467,-0.013302,-0.017417,0.01,0.01,0.01,0.01,0.01,0.003528,0.01,-0.14075,0.01,-0.003217,-0.070967,0.01
2022-01-11,0.01,0.01,-0.012693,0.01,0.01,-0.006182,0.01,0.01,0.005238,-0.016991,-0.008199,0.001895,0.01,0.01,0.003358,0.01,-0.032778,0.01,0.01,0.01,-0.005177,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.02741,0.01,0.01,0.01,0.008843,0.01,0.01,0.01,0.01,0.002718,0.01,0.01,-0.005222,0.01,0.01,0.01,0.01,0.01,-0.021799,0.01,0.01,0.01,0.01,0.01,-0.001931,0.003378,0.01,-0.014173,0.003634,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.75,0.01,0.01,0.01,-0.061153,0.01,0.009001,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.034054,0.004207,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.004626,0.01,0.01,0.01,-0.004591,0.01,0.01,-0.109538,0.01,-0.007509,0.005872,0.01,0.01,0.01,0.01,-0.0038,0.00228,0.01,0.01,0.01,0.01
