t,PEOPLEUSDT_PERP.A_oi,OMGUSDT_PERP.A_oi,BALUSDT_PERP.A_oi,RENUSDT_PERP.A_oi,CRVUSDT_PERP.A_oi,STORJUSDT_PERP.A_oi,RLCUSDT_PERP.A_oi,SXPUSDT_PERP.A_oi,KAVAUSDT_PERP.A_oi,RSRUSDT_PERP.A_oi,MTLUSDT_PERP.A_oi,DOGEUSDT_PERP.A_oi,BANDUSDT_PERP.A_oi,WAVESUSDT_PERP.A_oi,KSMUSDT_PERP.A_oi,ALGOUSDT_PERP.A_oi,MATICUSDT_PERP.A_oi,KNCUSDT_PERP.A_oi,ZILUSDT_PERP.A_oi,BLZUSDT_PERP.A_oi,NEARUSDT_PERP.A_oi,AVAXUSDT_PERP.A_oi,MKRUSDT_PERP.A_oi,SNXUSDT_PERP.A_oi,ENJUSDT_PERP.A_oi,ZRXUSDT_PERP.A_oi,FLMUSDT_PERP.A_oi,FTMUSDT_PERP.A_oi,UNIUSDT_PERP.A_oi,SKLUSDT_PERP.A_oi,TRBUSDT_PERP.A_oi,TRXUSDT_PERP.A_oi,BNBUSDT_PERP.A_oi,XRPUSDT_PERP.A_oi,NEOUSDT_PERP.A_oi,EOSUSDT_PERP.A_oi,ETCUSDT_PERP.A_oi,BTCUSDT_PERP.A_oi,LTCUSDT_PERP.A_oi,XLMUSDT_PERP.A_oi,LINKUSDT_PERP.A_oi,ETHUSDT_PERP.A_oi,BCHUSDT_PERP.A_oi,ADAUSDT_PERP.A_oi,XMRUSDT_PERP.A_oi,DASHUSDT_PERP.A_oi,ZECUSDT_PERP.A_oi,ONTUSDT_PERP.A_oi,ATOMUSDT_PERP.A_oi,XTZUSDT_PERP.A_oi,IOTAUSDT_PERP.A_oi,BATUSDT_PERP.A_oi,VETUSDT_PERP.A_oi,QTUMUSDT_PERP.A_oi,IOSTUSDT_PERP.A_oi,THETAUSDT_PERP.A_oi,AUDIOUSDT_PERP.A_oi,SUSHIUSDT_PERP.A_oi,COMPUSDT_PERP.A_oi,RUNEUSDT_PERP.A_oi,DOTUSDT_PERP.A_oi,FILUSDT_PERP.A_oi,AAVEUSDT_PERP.A_oi,UNFIUSDT_PERP.A_oi,GRTUSDT_PERP.A_oi,DEFIUSDT_PERP.A_oi,GTCUSDT_PERP.A_oi,YFIUSDT_PERP.A_oi,LRCUSDT_PERP.A_oi,SOLUSDT_PERP.A_oi,EGLDUSDT_PERP.A_oi,ICXUSDT_PERP.A_oi,OCEANUSDT_PERP.A_oi,ROSEUSDT_PERP.A_oi,OGNUSDT_PERP.A_oi,BELUSDT_PERP.A_oi,CTKUSDT_PERP.A_oi,AXSUSDT_PERP.A_oi,MASKUSDT_PERP.A_oi,ALPHAUSDT_PERP.A_oi,ZENUSDT_PERP.A_oi,BAKEUSDT_PERP.A_oi,1INCHUSDT_PERP.A_oi,LINAUSDT_PERP.A_oi,CELOUSDT_PERP.A_oi,GALAUSDT_PERP.A_oi,CELRUSDT_PERP.A_oi,DGBUSDT_PERP.A_oi,REEFUSDT_PERP.A_oi,ANKRUSDT_PERP.A_oi,CHZUSDT_PERP.A_oi,LPTUSDT_PERP.A_oi,ALICEUSDT_PERP.A_oi,1000SHIBUSDT_PERP.A_oi,SANDUSDT_PERP.A_oi,RVNUSDT_PERP.A_oi,SFPUSDT_PERP.A_oi,LITUSDT_PERP.A_oi,XEMUSDT_PERP.A_oi,ATAUSDT_PERP.A_oi,HOTUSDT_PERP.A_oi,STMXUSDT_PERP.A_oi,C98USDT_PERP.A_oi,ARUSDT_PERP.A_oi,MANAUSDT_PERP.A_oi,ONEUSDT_PERP.A_oi,HBARUSDT_PERP.A_oi,CHRUSDT_PERP.A_oi,DYDXUSDT_PERP.A_oi,COTIUSDT_PERP.A_oi,DENTUSDT_PERP.A_oi,NKNUSDT_PERP.A_oi,IOTXUSDT_PERP.A_oi,CTSIUSDT_PERP.A_oi,1000XECUSDT_PERP.A_oi,ENSUSDT_PERP.A_oi,KLAYUSDT_PERP.A_oi,ARPAUSDT_PERP.A_oi,ANTUSDT_PERP.A_oi
2022-01-02,68563069,3122112.0,394437.4,12762654,11017123.3,4303733,1455285.7,14236229.6,2282008.7,288405487,1083519,709971859,931651.2,482776.2,39635.3,27940748.6,42191703,3152665,118127138,24260901,7197637,972218,2780.119,1549507.4,7455798,6607584.7,13077429,37892292,2275905,25235871,103721.1,424736284,413960.24,206321142.0,297067.46,17671308.5,1158808.69,73297.806,539512.996,173936047,4368329.49,469051.922,97175.229,107404381,85261.261,54370.964,106371.338,8848430.7,2243994.59,7264983.6,11770568.7,13296984.6,322378265,853177.9,169857014,5694386.9,4326990,7602231,51898.647,2418895,6831113.1,1589931.6,223529.0,536754.3,20243514,851.146,836940.4,1341.833,12802370,1047844,144534.0,14426525,6350668,15567361,8794202,2717465,3384593,1513951,832892,8412741,95467.2,6780866,8693956,200407844,1893547.1,191634671,203546250,93668476,549452631,105531874,50432710,107649.0,2370149.3,2630176262,21292519,63890951,9337246,2051515.4,30250967,7390363,1086096108,135822335,3686770,216442.1,22060131,135559464,31088976,24871925,4630793.6,24172953,2019996834,9848830,78125566,7436356,83094075,351933.8,4321786.3,32398052,645657.7
2022-01-03,84182338,3096458.2,384553.9,14505797,11152569.3,4120101,1420726.0,14268516.7,2209351.1,289906166,1304440,752672128,942250.2,535233.9,41477.8,28078675.8,42945384,3373513,103413977,25784852,7875652,1052921,2813.101,2000591.4,7306628,7196999.1,13829320,45433660,2393667,26618335,106003.8,427385060,445133.29,205911429.2,297496.65,16940549.2,1174352.69,79508.429,569722.705,177684444,4521541.84,475366.918,96406.912,111082554,79568.524,55227.823,105234.7,8659431.8,2650908.8,7297474.6,11583709.0,13407930.2,317562021,1018460.6,167864324,6034331.7,4337174,8056831,52658.818,2474659,6851258.1,1602975.6,240773.5,548091.6,20100644,1163.965,697870.0,1394.073,12493272,1148187,149020.9,14481341,5556904,13539264,8534783,2771081,3272054,1541833,845234,9319912,102969.9,6995462,8726111,204067177,1987971.3,196418183,206181592,84153648,543334211,87606044,45135270,81597.4,2452736.3,2672677618,22295361,75086063,10434320,2208763.9,32888476,8694704,1124928096,109214847,4122252,191142.5,23064334,136597397,29530662,26695078,4804290.2,21221001,1905116342,10282931,84111450,7851700,93536412,347383.5,5824068.2,30491808,808693.9
2022-01-04,81084356,3237728.9,372170.7,13498759,10325255.0,4272890,1415021.0,14445695.4,2713160.5,258782132,1153214,740268774,1054021.2,576024.5,41824.1,25893404.8,41708529,3375905,101959590,26638177,7700843,1076517,2573.66,1866867.3,7205926,7166612.4,12898545,43776530,2404554,28661069,115725.2,449588998,443403.31,212069773.5,305666.39,16936144.3,1175162.69,81155.755,558725.74,162418591,4560943.62,474364.328,93286.471,112449535,76984.997,62688.767,120519.706,8499041.7,2688812.45,8901972.1,13646678.1,12960074.5,328964132,896384.4,174277859,5420258.9,4680207,8706670,51909.87,2451438,6854084.2,1724593.2,230288.4,491993.3,20776843,1126.812,691373.1,1265.543,12605067,1146121,144018.0,15468071,5129347,16367501,8535549,2722651,3130873,1533489,932506,8951477,98950.3,6979735,8637999,190371349,2126970.9,193806867,213043885,89088289,546331119,77009024,47612616,87055.8,2602367.7,2751643285,21157067,169928113,10523136,2085966.5,29333573,7558629,1160682087,111773723,4246679,227430.4,22968914,117468886,28933048,22540440,4634987.4,24055189,1907226788,11399335,85097349,7937815,87752202,340777.5,4473165.7,35025899,795920.3
2022-01-05,70931487,2975032.7,334429.9,12753033,10156233.9,3614683,1385405.5,11848814.3,1801207.7,259929606,1269511,677780027,1787320.9,497183.4,39022.1,22409710.6,39218004,3361796,86484072,25083595,6635673,980445,2440.399,1756726.4,5994392,6477517.4,12292242,46114344,2300364,26387811,114597.0,437790992,435061.91,183339180.0,315582.88,16980696.5,1178699.89,77849.139,545368.416,164329050,4678193.35,476344.016,95962.641,111412390,79315.401,67817.186,116196.122,10023528.9,2347233.68,7871118.1,15339142.0,12144737.4,342208622,863119.6,160179695,5470178.2,4299771,7430495,53127.934,2507611,6782507.4,1473998.8,199500.4,518766.3,20029769,1157.977,528722.1,1234.3,12083474,1065143,122193.6,13945137,6733166,13462004,7968514,2556700,3585969,1748466,582284,8692918,103246.0,7171883,8458118,173052935,2084721.3,155215930,206452711,85437754,542310632,73676630,46540508,101575.0,2237174.3,2357218534,17109862,122569152,8808715,2186407.4,46919789,7400833,977464649,102776836,3527558,160459.1,18697860,97796635,28931085,21513180,4584266.4,21131656,1698262118,11749733,72868738,7325916,94212904,268054.4,4590931.4,30029965,627958.7
2022-01-06,85988267,2939160.8,330922.5,11631507,9852081.5,3821826,1468365.1,11186872.7,1921671.0,271609057,1141452,660780998,1498768.0,483675.8,40063.8,21962912.4,37706362,3678498,89911787,22759920,6721691,968113,2625.555,1926108.8,6719030,6994629.9,10722092,44143687,2307027,26212526,92071.1,450203077,438899.78,186362690.7,313273.39,17488195.3,1170487.88,79293.451,551545.88,159865952,4583407.06,481168.944,97430.62,111907539,81175.472,78203.961,109374.897,10563500.9,2230716.95,8427706.3,13777572.0,12806510.2,330862307,877074.0,170346847,5890251.4,4569524,7548587,53975.732,2439651,6585068.1,1527674.2,209550.1,517093.0,21259264,1222.215,577139.7,1222.73,13443681,1116608,120664.7,14495873,7649371,13725072,7374807,2739905,3061671,1748112,669966,9228514,108549.5,7364412,8979165,186815660,2154153.1,148109774,218872793,99610344,616192268,72211726,44892190,114685.5,2356080.3,2403653081,17872914,130787337,10530702,2030473.9,49581319,8250340,1110375433,105507942,3865529,172861.4,23710904,106148782,27067266,20421250,4824135.4,18719064,1752508930,9642903,77749107,6832195,95515343,280190.9,3535328.5,27366157,853021.3
2022-01-07,83507454,2886163.4,349882.4,13230635,9963834.1,3945182,1227004.4,9452696.0,2347607.1,272254152,1059221,646760602,1490042.0,504113.7,41474.8,22692019.5,35969470,9102629,89481157,22451826,6711322,1050656,2418.897,1914820.7,6119333,5852483.9,9733465,44684516,2211208,30470966,87615.8,436513990,429676.99,188034930.3,332691.72,18159019.0,1190300.07,76606.492,548725.832,162277707,4523945.22,479978.977,101634.954,113291511,89054.489,96701.639,124688.11,10144220.8,2810667.24,8167943.0,12505732.9,14364272.5,315336504,838131.6,195393789,5334770.0,4305812,7650513,51788.811,2276034,6647521.4,1451214.7,207627.7,501227.5,21428664,1181.133,582701.7,1296.338,13132280,1193248,120860.3,14643953,7913670,15557892,7105094,2112893,3118349,1739523,764329,10120626,96286.6,6490600,8968194,187223655,2088459.0,151954795,212554287,88131261,659575632,75454435,44340686,127604.0,2368958.6,2511153884,16416886,113913475,9962881,2008705.2,38350498,6727594,1135061215,111209152,3939116,189224.6,21522739,110546914,28316104,17642513,5130211.0,20863050,1808707924,9237643,78990024,6905381,97739422,326173.6,3203078.1,28775333,942879.7
2022-01-08,92219427,2999707.9,372932.1,12178778,10353139.1,4156784,1434847.9,10045373.2,2721657.1,269896758,2116022,626081042,1405759.9,504378.6,43551.2,21827771.6,36013275,7341021,85392293,20388629,6326915,1073465,2636.982,1964430.9,6002027,5381369.4,9179211,46367427,2249456,28760013,95719.8,426061956,408341.16,183483227.6,328371.41,18079869.3,1187380.34,76397.657,544663.353,161055096,4525540.63,477986.865,100836.733,115971091,92950.553,101995.827,122217.514,10952327.2,2536743.64,7768619.5,13076623.8,15601674.3,319228914,836672.3,178893825,5463003.9,4383448,7539894,51585.849,2352680,6758388.4,1432979.2,214157.2,524282.0,21177009,1161.675,682702.4,1248.198,14214495,1125249,119807.2,15181565,5957969,20709240,7160198,2820889,3407168,1718741,827296,9710984,98075.5,6716427,8972464,181078916,2000715.4,161916932,207028338,91727470,660672510,74231396,44569314,90272.2,2173504.7,2332120697,16390275,103330963,10273248,2035606.9,38124891,6831047,1053219609,101196217,3629557,182593.7,19261642,124507567,32369108,17896112,5210118.1,23240891,1698804392,8848844,75186551,6603000,98300619,386880.7,3858375.8,29439275,919122.8
2022-01-09,113505891,3042640.9,382326.3,11500047,10319370.2,4819441,1669033.9,9485233.2,2196296.0,267551606,1459633,615072240,1535463.0,512594.8,43745.7,21200325.6,35339348,6278469,85593224,18074068,6546380,1009821,2456.882,1968574.9,6005174,4969359.3,10007472,45073130,2223261,25627465,85039.8,417638144,397020.06,187312408.6,326915.06,17631565.4,1201064.83,76158.663,529553.809,157424715,5514291.61,473998.983,99067.149,116809229,90955.666,110185.292,130580.027,10116797.0,2456139.03,7740770.6,12779678.8,14776615.7,327094733,815609.3,188791934,5422762.2,4444865,7108600,51024.629,2442170,6593305.8,1477185.7,211175.8,504118.8,20756685,1130.357,550055.7,1247.953,12788067,1135318,114298.6,14042129,5698914,17673455,7165923,2594270,3802353,1767951,805308,9050669,96741.9,6776208,8759080,194761055,1946119.5,157449789,210515180,95352625,645153158,71747777,43335309,88932.3,2229122.6,2264192870,16005820,93294955,9804059,2092623.3,32939591,6653678,1043027744,107541368,4539358,167575.5,19248674,112559786,26305654,18169247,5285767.6,18424419,1826989921,9231727,73566459,6702847,97850541,404477.8,5403527.8,29043647,1119435.8
2022-01-10,139971014,2964330.9,400451.9,12106373,11278958.6,5575691,1573183.1,9789126.3,2594491.9,273530906,1507082,602449464,1436071.1,559720.6,41936.7,25334219.3,37766730,7361384,86869942,19330950,8013371,1021846,2660.912,1938728.0,6380446,5569886.5,10540311,45772361,2307817,27297721,90502.3,444863340,410532.36,182741919.3,371135.42,19019857.5,1238525.43,76545.611,534564.526,158127611,5249682.34,471408.666,104434.34,121533298,93859.288,96726.065,119189.081,11573927.6,2500677.09,7912321.8,16134515.4,14225488.7,344556456,914892.1,203634081,5607850.6,4634711,7004063,57078.208,2405741,6920859.7,1464783.3,204878.9,480538.6,22481759,1111.64,558879.1,1258.216,14138919,1180685,123865.8,14579840,6259510,20793343,7061732,2423366,3730660,1790700,928683,10101702,88749.1,6683878,8811184,189013312,1960111.4,166079594,205576247,96730984,630889315,83078363,47254890,95097.3,2262857.9,2209931422,17239186,87562727,9204289,2489028.3,30503134,7196209,1034600649,111044375,3524959,162934.0,19707136,114207974,26812218,17618480,5459821.2,17734314,1718862300,10253962,79327400,6575611,103550876,341689.9,3884768.5,34577978,1057628.5
2022-01-11,138240256,3026525.2,374564.1,14737575,10048509.5,4268498,1294338.6,10179232.9,2349223.6,250534454,1313068,698572192,1478910.6,495207.6,44085.7,28861943.3,38006691,5425752,89452163,19545840,8675199,956796,2473.571,1845033.0,6495058,5682477.8,10488681,43289508,2342080,32294071,94169.7,468989870,460021.52,185641642.0,331917.29,18620217.7,1189959.32,77366.21,527707.647,157119429,5472096.75,464814.968,106210.932,119904503,98017.281,90267.982,137688.58,9673135.4,2401714.63,7761078.7,15563018.3,12946445.3,330112059,852453.9,167659131,5379646.6,4778351,6564343,52988.068,2462490,6689244.1,1572276.3,196762.5,611641.5,22646760,1096.718,554929.4,1197.161,16011410,1160475,131623.9,14784924,5668870,79858178,7358016,2379054,3619332,1778066,816637,9573676,102091.5,6439735,8980948,190967757,1931839.6,162156019,197131146,91099717,609914755,79135588,46247680,84646.5,2149322.4,2408160791,16283424,88420375,9201298,2550901.0,30365967,7492083,1042739260,129947523,3128532,172482.8,18136426,117261924,26521668,21438210,4859620.2,18366788,2317119040,10369449,79666809,6317456,104578336,347661.6,3461913.5,34456481,930351.4
