,PEOPLEUSDT_PERP.A_longliq,PEOPLEUSDT_PERP.A_shortliq,RENUSDT_PERP.A_longliq,RENUSDT_PERP.A_shortliq,CRVUSDT_PERP.A_longliq,CRVUSDT_PERP.A_shortliq,STORJUSDT_PERP.A_longliq,STORJUSDT_PERP.A_shortliq,RLCUSDT_PERP.A_longliq,RLCUSDT_PERP.A_shortliq,SXPUSDT_PERP.A_longliq,SXPUSDT_PERP.A_shortliq,KAVAUSDT_PERP.A_longliq,KAVAUSDT_PERP.A_shortliq,RSRUSDT_PERP.A_longliq,RSRUSDT_PERP.A_shortliq,MTLUSDT_PERP.A_longliq,MTLUSDT_PERP.A_shortliq,DOGEUSDT_PERP.A_longliq,DOGEUSDT_PERP.A_shortliq,WAVESUSDT_PERP.A_longliq,WAVESUSDT_PERP.A_shortliq,ALGOUSDT_PERP.A_longliq,ALGOUSDT_PERP.A_shortliq,MATICUSDT_PERP.A_longliq,MATICUSDT_PERP.A_shortliq,NEARUSDT_PERP.A_longliq,NEARUSDT_PERP.A_shortliq,AVAXUSDT_PERP.A_longliq,AVAXUSDT_PERP.A_shortliq,MKRUSDT_PERP.A_longliq,MKRUSDT_PERP.A_shortliq,SNXUSDT_PERP.A_longliq,SNXUSDT_PERP.A_shortliq,FTMUSDT_PERP.A_longliq,FTMUSDT_PERP.A_shortliq,UNIUSDT_PERP.A_longliq,UNIUSDT_PERP.A_shortliq,TRBUSDT_PERP.A_longliq,TRBUSDT_PERP.A_shortliq,TRXUSDT_PERP.A_longliq,TRXUSDT_PERP.A_shortliq,BNBUSDT_PERP.A_longliq,BNBUSDT_PERP.A_shortliq,XRPUSDT_PERP.A_longliq,XRPUSDT_PERP.A_shortliq,NEOUSDT_PERP.A_longliq,NEOUSDT_PERP.A_shortliq,EOSUSDT_PERP.A_longliq,EOSUSDT_PERP.A_shortliq,ETCUSDT_PERP.A_longliq,ETCUSDT_PERP.A_shortliq,BTCUSDT_PERP.A_longliq,BTCUSDT_PERP.A_shortliq,LTCUSDT_PERP.A_longliq,LTCUSDT_PERP.A_shortliq,XLMUSDT_PERP.A_longliq,XLMUSDT_PERP.A_shortliq,LINKUSDT_PERP.A_longliq,LINKUSDT_PERP.A_shortliq,ETHUSDT_PERP.A_longliq,ETHUSDT_PERP.A_shortliq,BCHUSDT_PERP.A_longliq,BCHUSDT_PERP.A_shortliq,ADAUSDT_PERP.A_longliq,ADAUSDT_PERP.A_shortliq,XMRUSDT_PERP.A_longliq,XMRUSDT_PERP.A_shortliq,ATOMUSDT_PERP.A_longliq,ATOMUSDT_PERP.A_shortliq,VETUSDT_PERP.A_longliq,VETUSDT_PERP.A_shortliq,THETAUSDT_PERP.A_longliq,THETAUSDT_PERP.A_shortliq,SUSHIUSDT_PERP.A_longliq,SUSHIUSDT_PERP.A_shortliq,COMPUSDT_PERP.A_longliq,COMPUSDT_PERP.A_shortliq,RUNEUSDT_PERP.A_longliq,RUNEUSDT_PERP.A_shortliq,DOTUSDT_PERP.A_longliq,DOTUSDT_PERP.A_shortliq,FILUSDT_PERP.A_longliq,FILUSDT_PERP.A_shortliq,AAVEUSDT_PERP.A_longliq,AAVEUSDT_PERP.A_shortliq,UNFIUSDT_PERP.A_longliq,UNFIUSDT_PERP.A_shortliq,GRTUSDT_PERP.A_longliq,GRTUSDT_PERP.A_shortliq,GTCUSDT_PERP.A_longliq,GTCUSDT_PERP.A_shortliq,SOLUSDT_PERP.A_longliq,SOLUSDT_PERP.A_shortliq,OCEANUSDT_PERP.A_longliq,OCEANUSDT_PERP.A_shortliq,BELUSDT_PERP.A_longliq,BELUSDT_PERP.A_shortliq,AXSUSDT_PERP.A_longliq,AXSUSDT_PERP.A_shortliq,MASKUSDT_PERP.A_longliq,MASKUSDT_PERP.A_shortliq,ALPHAUSDT_PERP.A_longliq,ALPHAUSDT_PERP.A_shortliq,1INCHUSDT_PERP.A_longliq,1INCHUSDT_PERP.A_shortliq,LINAUSDT_PERP.A_longliq,LINAUSDT_PERP.A_shortliq,GALAUSDT_PERP.A_longliq,GALAUSDT_PERP.A_shortliq,CELRUSDT_PERP.A_longliq,CELRUSDT_PERP.A_shortliq,CHZUSDT_PERP.A_longliq,CHZUSDT_PERP.A_shortliq,ALICEUSDT_PERP.A_longliq,ALICEUSDT_PERP.A_shortliq,1000SHIBUSDT_PERP.A_longliq,1000SHIBUSDT_PERP.A_shortliq,SANDUSDT_PERP.A_longliq,SANDUSDT_PERP.A_shortliq,LITUSDT_PERP.A_longliq,LITUSDT_PERP.A_shortliq,C98USDT_PERP.A_longliq,C98USDT_PERP.A_shortliq,MANAUSDT_PERP.A_longliq,MANAUSDT_PERP.A_shortliq,HBARUSDT_PERP.A_longliq,HBARUSDT_PERP.A_shortliq,DYDXUSDT_PERP.A_longliq,DYDXUSDT_PERP.A_shortliq,COTIUSDT_PERP.A_longliq,COTIUSDT_PERP.A_shortliq
2022-01-02,438865.0,59767.0,15226.0,39673.0,195064.40000000002,143533.8,29917.0,21160.0,3693.7000000000003,2303.0,206810.00000000003,114940.09999999995,17433.800000000007,3614.8999999999996,322510,682060,7149.0,10643.0,414054,315679,459.1,504.4,70076.9,59100.5,69156.0,31425.0,33416.0,6708.0,3381.0,3409.0,0.69,0.923,1641.0,5603.800000000001,419009.0,106120.0,3942.0,3648.0,538.4,257.3,427999,511453,275.5,251.98999999999987,128083.30000000002,177498.60000000006,185.25,240.12,54730.50000000001,38872.00000000001,578.08,1814.5599999999997,114.77800000000016,79.26300000000012,506.7530000000002,340.764,209854.0,338356.0,6478.429999999998,21053.479999999992,116.008,433.41900000000004,32.38600000000001,32.51,177450,99637,447.0160000000002,82.16600000000001,19068.38,7369.399999999999,1726631.0,158246.0,29056.899999999994,7556.5,48367.0,27399.0,59.34499999999999,6.868,13451.0,13121.0,14680.600000000002,30232.1,1106.8,893.7000000000002,391.3999999999999,218.0,997.1999999999999,1248.4,32726.0,17735.0,10683.600000000004,9642.299999999994,875,872,15971.0,14701.0,5145.0,217.0,570.0,736.0,1406.0,5122.0,8394.0,12881.0,9820.0,6310.0,1483165.0,69531.0,439341,138944,1016001.0,412058.0,296599.0,162225.0,6707.5999999999985,1597.2999999999997,5396498,3234325,35561.0,7090.0,2144.6,1438.8,5853.0,1889.0,22516.0,17497.0,62358.0,73906.0,1632.1,10534.999999999996,76885.0,26845.0
2022-01-03,2109983.0,974617.0,279242.0,134105.0,210800.7000000001,259412.6999999999,41807.0,1551.0,25650.700000000004,356.8999999999999,337199.0000000001,14043.8,13362.700000000003,13985.700000000003,1827745,130363,20818.0,10085.0,2789122,56589,718.0999999999999,594.4,120060.9,94090.60000000005,515616.0,35590.0,48473.0,115620.0,9511.0,587.0,12.906000000000004,0.773,14662.5,35013.60000000001,395221.0,659234.0,12815.0,3841.0,1604.2000000000003,63.6,1626584,136351,1116.5200000000002,99.37999999999998,754504.3000000005,77759.99999999999,823.1700000000001,43.690000000000005,79923.4,5254.1,1909.2999999999997,317.16,174.32100000000014,69.33699999999999,1265.275,84.289,275520.0,294199.0,28393.249999999996,34880.01000000004,807.7180000000001,171.224,216.72599999999994,31.087000000000003,532307,61789,544.866,60.11800000000001,12799.710000000003,40771.21999999997,2111426.0,236783.0,57231.69999999999,10977.7,180651.0,35677.0,327.06299999999993,193.78,22949.0,3895.0,36808.40000000002,21910.900000000016,4882.2,38.7,1477.000000000001,1056.9000000000003,10890.499999999995,648.0,87548.0,6754.0,16521.100000000002,947.0999999999998,7532,609,38248.0,12535.0,16629.0,1156.0,3318.0,546.0,15140.0,1.0,225878.0,68238.0,32758.0,13012.0,3015751.0,1369737.0,1032742,19084,2956694.0,283264.0,425231.0,122263.0,18532.599999999995,1608.5,14094981,4325151,149213.0,11110.0,8870.1,329.20000000000005,40169.0,77.0,145557.0,11590.0,341073.0,36839.0,33327.999999999985,5.5,143211.0,26779.0
2022-01-04,578912.0,102480.0,88626.0,26938.0,198043.00000000012,50376.29999999999,23616.0,3004.0,28555.899999999998,12089.399999999998,189702.0000000001,21654.7,10670.4,37910.49999999999,784555,976410,12770.0,158.0,3202140,694892,996.9000000000003,1394.3999999999999,307589.80000000005,73629.50000000001,266803.0,160235.0,105911.0,98379.0,7118.0,1030.0,4.154,6.415000000000001,37628.39999999998,12479.300000000001,939816.0,630768.0,11617.0,5018.0,247.10000000000002,156.1,1235475,451782,1916.620000000003,203.67999999999998,883129.0999999999,74538.99999999997,816.53,0.0,121736.09999999998,25660.199999999997,2945.689999999999,537.31,385.2709999999974,109.39700000000012,1751.4169999999995,360.688,1205386.0,9572.0,32469.900000000023,16360.35999999999,811.5460000000012,333.5589999999998,235.79399999999993,16.087,474104,89537,395.158,62.659,26754.799999999974,37445.33000000002,4114605.0,1178541.0,51108.3,14506.3,161565.0,30521.0,240.0670000000001,179.66400000000002,24868.0,16506.0,36545.89999999998,5791.999999999998,7323.999999999999,4487.200000000002,2820.1,332.3,3118.1000000000013,451.2,53663.0,38720.0,11263.8,16950.09999999999,5122,659,35351.0,19562.0,35206.0,7573.0,5058.0,117.0,8602.0,547.0,50824.0,6129.0,28314.0,2763.0,4906466.0,1813304.0,1184800,328340,3008198.0,1167304.0,289818.0,95019.0,16310.499999999995,15627.599999999997,12336200,5592465,212764.0,48208.0,9272.400000000001,2098.3,14214.0,20723.0,212523.0,9730.0,217191.0,195997.0,11749.699999999999,462.99999999999994,273429.0,147684.0
2022-01-05,5147538.0,458971.0,1065753.0,38093.0,527518.7,71815.89999999998,239899.0,4017.0,86364.99999999999,8362.9,531536.1000000003,33048.70000000001,95352.60000000005,6836.6,10931681,443165,78887.0,7528.0,12724339,1770402,31680.800000000003,208.70000000000002,528599.4000000003,75896.20000000001,1341592.0,194269.0,184322.0,69708.0,28759.0,3014.0,28.73700000000001,0.15100000000000002,67351.59999999998,9983.499999999998,1374919.0,808072.0,54710.0,6569.0,7748.599999999996,1344.7,16855303,280884,4822.56,233.96,2189068.999999999,225063.69999999995,8969.049999999997,50.32,489385.69999999995,9920.599999999999,24642.939999999995,925.4899999999999,507.791999999999,182.75699999999983,9718.122000000001,359.581,2507136.0,256600.0,99451.03000000003,99224.64000000003,2747.443000000001,237.00300000000007,1699.1289999999995,38.193,2120707,126618,2008.1820000000016,35.79,68837.97999999991,28863.990000000005,14207280.0,5152300.0,238778.7000000001,41679.70000000001,248511.0,107601.0,1764.289000000001,125.951,89301.0,9114.0,99156.79999999999,12763.8,41161.99999999998,1554.8999999999999,4500.599999999992,305.6,21918.699999999986,804.8000000000001,626864.0,66384.0,40821.600000000006,4373.1,27353,2162,527434.0,57999.0,156319.0,2120.0,36023.0,1491.0,41153.0,1038.0,575625.0,10923.0,212592.0,9381.0,13126587.0,1176153.0,4897470,1371500,11868783.0,4286919.0,1926316.0,142816.0,87025.40000000004,18062.099999999995,45009769,16137012,620202.0,91716.0,88737.29999999999,1650.2,205544.0,44861.0,653472.0,88627.0,1822568.0,98327.0,154618.59999999998,15609.700000000004,818186.0,104982.0
2022-01-06,1382699.0,1372846.0,80025.0,22704.0,118396.39999999997,73880.60000000006,21597.0,7564.0,8362.6,487.3,68851.20000000001,68801.09999999999,15100.900000000001,1585.1999999999998,1529446,58218,18442.0,526.0,2487983,964118,3218.5,638.0,68372.8,20685.000000000007,563244.0,367531.0,88730.0,76784.0,7193.0,2162.0,6.603999999999999,1.4279999999999997,10731.300000000001,2103.4,742494.0,622883.0,18717.0,1021.0,455.69999999999993,89.7,1053434,240480,1587.0499999999997,411.3600000000001,702986.0999999999,424492.1999999998,299.84000000000003,141.73000000000002,75278.59999999999,11511.7,3047.4900000000002,738.88,120.8270000000001,118.18200000000003,1581.580999999999,718.09,434467.0,183223.0,55032.28999999998,46201.3,1500.471999999998,604.1570000000002,218.75199999999992,46.446999999999996,596162,448665,541.4440000000001,196.51400000000004,34990.27000000003,33394.54000000004,3564522.0,867973.0,65483.89999999999,11841.8,94191.0,38944.0,337.0419999999998,179.90900000000002,19464.0,7065.0,34393.20000000001,27215.700000000008,6443.299999999998,683.8,1484.3,218.39999999999998,4835.0,736.6999999999999,63993.0,11457.0,8910.600000000002,2139.4,5175,1746,62735.0,4736.0,47456.0,4481.0,10282.0,4366.0,2171.0,83.0,103448.0,5655.0,30268.0,8975.0,3830863.0,592124.0,2669291,2262370,3424063.0,999245.0,299916.0,47020.0,22617.399999999994,11501.400000000005,15931995,12697237,190065.0,271447.0,13661.3,284.09999999999997,32085.0,832.0,412973.0,513847.0,352089.0,95069.0,25594.700000000004,2284.7999999999997,156865.0,81615.0
2022-01-07,3653343.0,1329262.0,292441.0,4249.0,238157.70000000027,51589.600000000006,76111.0,7121.0,37571.2,337.20000000000005,217260.79999999993,40594.299999999996,36445.19999999999,12210.5,7573737,212658,46461.0,868.0,4829167,1320767,4202.900000000001,865.6999999999999,333704.6000000001,63329.39999999998,783616.0,75574.0,104610.0,43851.0,20247.0,4636.0,18.001000000000005,0.8720000000000001,51382.50000000001,2434.0999999999995,1090311.0,392055.0,21978.0,2077.0,3254.399999999999,23.599999999999998,5581844,413518,2589.1000000000004,780.0399999999995,1284629.1,767245.4,4241.080000000001,942.3700000000001,260061.90000000005,39286.200000000004,15147.69,1836.91,273.23399999999936,173.17799999999974,4465.6219999999985,1185.707,1350791.0,103336.0,88266.92000000007,55590.19999999999,2504.648999999996,704.9070000000004,721.0500000000002,125.72099999999998,1145719,182374,711.2129999999996,228.39600000000007,63097.17999999999,55492.81000000004,6318659.0,444983.0,115688.5999999999,7633.4,135189.0,94932.0,639.2180000000002,181.15200000000002,40772.0,3517.0,54415.200000000026,16733.8,17595.40000000001,1573.5,2805.5999999999995,1414.8000000000002,8432.900000000001,993.9,324321.0,13488.0,15671.19999999999,4655.300000000002,19022,5281,376961.0,22346.0,78746.0,4730.0,15216.0,1832.0,14982.0,75.0,304932.0,28954.0,124699.0,1738.0,9310870.0,757961.0,4118296,1264242,7429335.0,535749.0,745621.0,42232.0,60027.90000000001,4443.599999999999,27591672,10781575,331767.0,139841.0,52110.299999999996,1742.5,50039.0,22320.0,518855.0,261008.0,1002327.0,74455.0,61929.59999999999,14183.0,701598.0,157433.0
2022-01-08,3636073.0,247792.0,406532.0,29227.0,228535.89999999985,42374.30000000001,63622.0,2691.0,31335.199999999997,4883.199999999999,181046.19999999998,25112.500000000004,45776.10000000002,57496.29999999996,5181012,390569,36394.0,28067.0,4602979,1317300,4195.3,847.6999999999999,226273.1000000001,21058.399999999998,657214.0,218588.0,113372.0,27762.0,19437.0,2401.0,20.78200000000001,1.002,42245.600000000006,1680.1999999999998,1308228.0,396994.0,20948.0,466.0,3699.8999999999996,45.0,4461352,276555,2247.079999999997,363.1099999999999,1154464.8,275832.2000000001,4288.029999999999,309.21999999999997,173351.4999999999,36049.4,8428.329999999996,331.96,177.87599999999992,112.56000000000004,3672.7679999999996,853.8829999999999,787831.0,115484.0,72628.45999999996,32416.860000000022,1147.7089999999982,759.0049999999995,591.856,24.17,1065895,462378,1129.8040000000003,67.509,51507.21999999997,27363.739999999998,6511845.0,436352.0,147152.7,5127.199999999999,132519.0,25779.0,669.0799999999999,100.125,75534.0,4826.0,47631.99999999997,9292.400000000001,12429.3,1230.9000000000003,2822.699999999997,880.7,9661.800000000001,340.4,450819.0,17866.0,27243.500000000022,1730.3999999999996,13371,8749,194375.0,1895.0,73221.0,4184.0,10104.0,2394.0,21068.0,973.0,182791.0,1802.0,93227.0,10111.0,6436185.0,1084235.0,3561556,696918,7208813.0,1265367.0,908394.0,136531.0,47812.50000000001,12270.799999999994,35563692,16417322,277388.0,97898.0,37815.29999999999,1587.3999999999999,56515.0,7711.0,304767.0,71011.0,613241.0,61551.0,87994.80000000002,1123.5000000000002,736250.0,35284.0
2022-01-09,933864.0,774591.0,47841.0,34880.0,67348.60000000002,28214.400000000012,19543.0,10258.0,3929.499999999999,8912.100000000002,14186.199999999999,33600.39999999999,25766.60000000001,18877.699999999997,122807,412455,20718.0,2289.0,844207,954437,1917.9,2156.9,38981.3,54504.79999999999,155881.0,260332.0,48250.0,39097.0,3243.0,9780.0,0.056,5.917,6777.2,4315.5,582619.0,573432.0,142.0,5364.0,197.8,131.4,569584,427968,393.0500000000001,594.0699999999998,624968.1999999996,234847.09999999992,51.03,1454.9099999999999,30511.3,11014.600000000002,1250.3900000000003,373.05999999999995,97.80500000000002,103.93400000000011,282.67300000000006,320.14000000000004,95040.0,281337.0,41086.370000000024,55962.36999999995,376.4080000000004,708.7970000000003,42.177,27.045,443394,164798,73.122,62.521,31280.06999999997,26586.11,1639002.0,1343823.0,15495.199999999999,14188.8,51829.0,49702.0,96.99599999999998,110.817,7138.0,1842.0,16212.199999999999,12350.1,1801.4000000000005,565.3,273.90000000000003,397.8,238.79999999999998,732.6999999999999,27580.0,14287.0,4955.6,7001.000000000002,5102,2824,36534.0,4696.0,3716.0,2957.0,2556.0,2370.0,266.0,537.0,1731.0,56781.0,9361.0,6147.0,936643.0,750213.0,1094627,1319432,1024949.0,500255.0,56288.0,57397.0,10928.699999999999,6893.099999999999,11082117,14668245,141063.0,74419.0,2362.8999999999996,427.09999999999997,32497.0,1600.0,189632.0,89481.0,40401.0,21519.0,24214.399999999998,4558.2,51372.0,187962.0
2022-01-10,5137442.0,1546176.0,162698.0,68304.0,279329.3999999998,83878.2,70647.0,17720.0,21078.100000000002,5116.3,160558.29999999996,15514.400000000003,58722.79999999994,7200.999999999999,2830667,644262,43063.0,2439.0,5143138,609814,6164.300000000001,569.6,241452.2,82585.80000000002,642080.0,187010.0,104744.0,102748.0,15405.0,6009.0,14.104,1.213,34506.0,2445.4,784398.0,404476.0,17298.0,22106.0,3996.300000000001,244.9,7579388,4697368,1850.149999999997,780.5,1448336.2999999984,379991.60000000003,3864.3899999999994,484.33000000000004,210681.30000000002,15511.299999999997,14236.470000000001,1845.8100000000002,244.30399999999975,179.97099999999992,4459.918,467.519,2120133.0,1278731.0,66227.84000000007,43837.39999999995,2092.386999999996,809.1529999999988,574.0340000000001,203.35900000000004,1250651,288747,696.822,351.991,32314.369999999988,43474.37999999997,6969020.0,1335375.0,89665.40000000005,136646.19999999998,113458.0,38590.0,866.652,47.20499999999999,44857.0,3808.0,57483.500000000044,16299.700000000003,20016.299999999992,1462.0,1718.199999999999,471.79999999999995,6445.700000000001,3051.0999999999995,271524.0,25098.0,26581.89999999999,3874.0,11170,2724,195424.0,15922.0,72832.0,3157.0,6806.0,1274.0,24914.0,973.0,186152.0,19278.0,75974.0,9899.0,5361193.0,1024795.0,3394324,498568,6816823.0,3445573.0,807357.0,126814.0,64953.30000000001,2869.0999999999995,34568095,12085851,288054.0,103839.0,63714.7,9115.499999999998,82818.0,16384.0,407869.0,96492.0,387373.0,27816.0,82458.30000000003,26650.8,368722.0,78561.0
2022-01-11,2813099.0,1977265.0,34144.0,5692.0,33428.200000000004,61167.199999999975,11770.0,23929.0,2883.8999999999996,467.0,19491.899999999998,24551.2,11324.4,40011.29999999998,214035,193463,4444.0,5658.0,7869652,4676939,96.3,1735.3000000000004,62213.7,49695.699999999975,119954.0,547355.0,64106.0,132591.0,2124.0,5285.0,0.2,0.461,1301.0,1252.5,220560.0,646471.0,3456.0,3141.0,184.89999999999998,638.9000000000001,515041,320303,452.1500000000001,2065.8399999999992,250712.7999999999,1263314.4999999995,118.35000000000001,199.10999999999999,19659.799999999996,25992.100000000006,745.92,2465.9300000000007,96.24100000000016,183.20199999999983,405.918,1917.983,214039.0,294902.0,33825.40999999999,19107.30999999999,212.50900000000007,990.1089999999998,41.478999999999985,41.91900000000001,175270,411278,32.425,69.53699999999999,17437.510000000006,29209.020000000022,2113630.0,2137046.0,15082.899999999998,43395.5,28482.0,47649.0,115.51700000000001,64.41,8432.0,11782.0,10940.199999999992,22507.200000000004,1362.0,3347.5,126.60000000000001,551.6999999999999,1015.1999999999999,1486.0000000000005,24625.0,20952.0,3189.8999999999996,2610.7000000000003,2300,4231,15816.0,26279.0,49.0,14530.0,1080.0,1901.0,26.0,1435.0,47117.0,34895.0,11269.0,7689.0,899766.0,885927.0,572167,1162437,848082.0,1278039.0,95792.0,149458.0,5976.1,13358.199999999997,10504138,18095764,67024.0,223511.0,9258.7,32968.200000000004,2731.0,16847.0,119881.0,95274.0,15432.0,35208.0,237.5,23390.499999999996,55620.0,60123.0
