,PEOPLEUSDT_PERP.A_ls_ratio,OMGUSDT_PERP.A_ls_ratio,BALUSDT_PERP.A_ls_ratio,RENUSDT_PERP.A_ls_ratio,CRVUSDT_PERP.A_ls_ratio,STORJUSDT_PERP.A_ls_ratio,RLCUSDT_PERP.A_ls_ratio,SXPUSDT_PERP.A_ls_ratio,KAVAUSDT_PERP.A_ls_ratio,RSRUSDT_PERP.A_ls_ratio,MTLUSDT_PERP.A_ls_ratio,DOGEUSDT_PERP.A_ls_ratio,BANDUSDT_PERP.A_ls_ratio,WAVESUSDT_PERP.A_ls_ratio,KSMUSDT_PERP.A_ls_ratio,ALGOUSDT_PERP.A_ls_ratio,MATICUSDT_PERP.A_ls_ratio,KNCUSDT_PERP.A_ls_ratio,ZILUSDT_PERP.A_ls_ratio,BLZUSDT_PERP.A_ls_ratio,NEARUSDT_PERP.A_ls_ratio,AVAXUSDT_PERP.A_ls_ratio,MKRUSDT_PERP.A_ls_ratio,SNXUSDT_PERP.A_ls_ratio,ENJUSDT_PERP.A_ls_ratio,ZRXUSDT_PERP.A_ls_ratio,FLMUSDT_PERP.A_ls_ratio,FTMUSDT_PERP.A_ls_ratio,UNIUSDT_PERP.A_ls_ratio,SKLUSDT_PERP.A_ls_ratio,TRBUSDT_PERP.A_ls_ratio,TRXUSDT_PERP.A_ls_ratio,BNBUSDT_PERP.A_ls_ratio,XRPUSDT_PERP.A_ls_ratio,NEOUSDT_PERP.A_ls_ratio,EOSUSDT_PERP.A_ls_ratio,ETCUSDT_PERP.A_ls_ratio,BTCUSDT_PERP.A_ls_ratio,LTCUSDT_PERP.A_ls_ratio,XLMUSDT_PERP.A_ls_ratio,LINKUSDT_PERP.A_ls_ratio,ETHUSDT_PERP.A_ls_ratio,BCHUSDT_PERP.A_ls_ratio,ADAUSDT_PERP.A_ls_ratio,XMRUSDT_PERP.A_ls_ratio,DASHUSDT_PERP.A_ls_ratio,ZECUSDT_PERP.A_ls_ratio,ONTUSDT_PERP.A_ls_ratio,ATOMUSDT_PERP.A_ls_ratio,XTZUSDT_PERP.A_ls_ratio,IOTAUSDT_PERP.A_ls_ratio,BATUSDT_PERP.A_ls_ratio,VETUSDT_PERP.A_ls_ratio,QTUMUSDT_PERP.A_ls_ratio,IOSTUSDT_PERP.A_ls_ratio,THETAUSDT_PERP.A_ls_ratio,AUDIOUSDT_PERP.A_ls_ratio,SUSHIUSDT_PERP.A_ls_ratio,COMPUSDT_PERP.A_ls_ratio,RUNEUSDT_PERP.A_ls_ratio,DOTUSDT_PERP.A_ls_ratio,FILUSDT_PERP.A_ls_ratio,AAVEUSDT_PERP.A_ls_ratio,UNFIUSDT_PERP.A_ls_ratio,GRTUSDT_PERP.A_ls_ratio,DEFIUSDT_PERP.A_ls_ratio,GTCUSDT_PERP.A_ls_ratio,YFIUSDT_PERP.A_ls_ratio,LRCUSDT_PERP.A_ls_ratio,SOLUSDT_PERP.A_ls_ratio,EGLDUSDT_PERP.A_ls_ratio,ICXUSDT_PERP.A_ls_ratio,OCEANUSDT_PERP.A_ls_ratio,ROSEUSDT_PERP.A_ls_ratio,OGNUSDT_PERP.A_ls_ratio,BELUSDT_PERP.A_ls_ratio,CTKUSDT_PERP.A_ls_ratio,AXSUSDT_PERP.A_ls_ratio,MASKUSDT_PERP.A_ls_ratio,ALPHAUSDT_PERP.A_ls_ratio,ZENUSDT_PERP.A_ls_ratio,BAKEUSDT_PERP.A_ls_ratio,1INCHUSDT_PERP.A_ls_ratio,LINAUSDT_PERP.A_ls_ratio,CELOUSDT_PERP.A_ls_ratio,GALAUSDT_PERP.A_ls_ratio,CELRUSDT_PERP.A_ls_ratio,DGBUSDT_PERP.A_ls_ratio,REEFUSDT_PERP.A_ls_ratio,ANKRUSDT_PERP.A_ls_ratio,CHZUSDT_PERP.A_ls_ratio,LPTUSDT_PERP.A_ls_ratio,ALICEUSDT_PERP.A_ls_ratio,1000SHIBUSDT_PERP.A_ls_ratio,SANDUSDT_PERP.A_ls_ratio,RVNUSDT_PERP.A_ls_ratio,SFPUSDT_PERP.A_ls_ratio,LITUSDT_PERP.A_ls_ratio,XEMUSDT_PERP.A_ls_ratio,ATAUSDT_PERP.A_ls_ratio,HOTUSDT_PERP.A_ls_ratio,STMXUSDT_PERP.A_ls_ratio,C98USDT_PERP.A_ls_ratio,ARUSDT_PERP.A_ls_ratio,MANAUSDT_PERP.A_ls_ratio,ONEUSDT_PERP.A_ls_ratio,HBARUSDT_PERP.A_ls_ratio,CHRUSDT_PERP.A_ls_ratio,DYDXUSDT_PERP.A_ls_ratio,COTIUSDT_PERP.A_ls_ratio,DENTUSDT_PERP.A_ls_ratio,NKNUSDT_PERP.A_ls_ratio,IOTXUSDT_PERP.A_ls_ratio,CTSIUSDT_PERP.A_ls_ratio,1000XECUSDT_PERP.A_ls_ratio,ENSUSDT_PERP.A_ls_ratio,KLAYUSDT_PERP.A_ls_ratio,ARPAUSDT_PERP.A_ls_ratio,ANTUSDT_PERP.A_ls_ratio
2022-01-02,4.8754,5.2112,2.5174,3.6339,1.1758,3.2337,2.5026,1.1478,0.9324,3.7733,2.5051,6.8064,3.8031,3.7015,4.1414,2.0012,2.7679,2.465,4.9032,3.8948,1.3918,2.6324,2.0684,2.8536,5.2617,2.1095,3.4053,1.891,3.8216,4.5402,3.0032,5.2383,4.9701,4.6948,3.0766,4.0968,3.9358,2.8432,4.8241,2.888,4.6625,2.962,2.2082,7.0192,0.967,4.168,3.6642,3.5977,0.8355,2.9857,2.882,2.6643,6.0077,4.0226,3.4743,4.2966,5.3613,2.2949,3.0486,5.2035,6.716,6.2993,1.9958,2.775,4.8548,2.2268,4.4855,0.6598,3.7326,5.1237,6.2886,5.5445,4.4585,1.2178,5.4725,3.1305,2.8775,6.0671,3.1649,3.697,2.5778,4.5772,8.0498,3.6425,2.5625,8.0334,3.6773,4.4645,7.1103,4.4318,5.5574,1.2173,5.1538,8.2166,5.8399,2.0221,5.2035,4.1414,4.3937,4.9595,6.0621,4.0787,3.697,1.5562,8.9602,1.8417,3.0469,2.3602,7.0972,3.7778,4.7537,3.4072,3.7259,3.0371,7.6281,5.5833,1.5349,5.2657,0.926
2022-01-03,5.5359,4.6022,1.7115,3.5893,1.9886,2.9078,2.7793,1.8121,2.5174,3.6882,2.0798,6.9745,3.4504,3.5956,3.6189,3.0274,3.1911,2.4734,4.4915,3.3937,2.0358,2.6523,1.881,2.9857,3.7304,1.9036,3.0193,2.4722,2.3818,4.5835,2.9888,4.1894,4.4466,4.4795,2.9417,2.8476,3.3066,2.8911,4.618,1.7375,2.7836,2.9904,1.9138,6.593,1.5458,3.4944,3.075,2.44,1.1777,3.329,3.5788,2.0257,6.0872,3.1701,2.5575,4.5218,5.5876,2.9078,3.4524,6.8309,4.3163,6.9365,1.7503,2.5765,4.685,2.3625,2.973,0.4751,3.686,5.0533,7.4175,5.3816,4.3763,2.5474,4.6465,3.2123,2.9277,5.7385,2.8551,3.6275,2.6062,4.6948,7.5985,4.1975,3.0128,9.4603,3.6751,4.6657,7.7336,2.1192,4.2383,1.448,5.8027,8.7561,6.4129,2.6088,5.2617,4.0125,3.0617,4.8173,5.8306,3.4307,4.3967,3.4267,9.2669,0.7455,2.5461,3.3309,6.7459,4.3967,5.1958,3.4863,4.2466,3.0967,6.148,5.3694,1.6096,5.215,0.7224
2022-01-04,5.8213,5.2696,2.3693,4.7904,1.5265,3.8193,4.0968,3.2644,2.1114,3.8333,2.3047,8.4607,2.7793,3.2409,4.9701,1.924,3.7371,2.5411,4.7504,3.6555,0.9309,4.1546,3.1876,1.8066,5.2383,2.6483,4.0556,1.2712,3.3783,4.6625,2.8895,4.7143,6.6394,5.4516,3.1408,3.4484,3.9554,4.3677,5.7522,1.9019,2.5014,3.4883,2.3841,8.6618,2.6996,4.1706,3.3687,2.5236,0.7541,3.7778,3.2845,2.5236,6.3529,3.9092,3.4464,5.5062,6.5019,4.2743,2.7397,7.3893,4.814,7.4818,2.7147,2.7453,5.9735,2.3933,3.9432,0.846,4.1073,7.0192,8.1241,5.3012,4.1894,3.0258,5.035,3.7281,4.0531,6.4239,4.2743,4.8445,2.9262,5.5062,7.9526,3.1169,3.5496,9.2564,4.3079,5.2539,9.0908,4.1387,5.7431,1.748,7.058,10.1982,7.4531,2.2268,5.7476,4.2576,4.1256,5.9832,6.0077,3.6512,4.7241,3.0816,9.9409,0.9524,3.7037,4.6402,8.3197,4.3792,4.3505,4.4259,6.2993,3.2499,5.4144,6.0771,1.7078,5.006,1.8547
2022-01-05,7.6881,5.6667,2.6792,4.5279,2.1496,4.1813,3.3066,3.948,1.2795,3.9628,3.0177,8.5969,3.1102,3.1442,3.8567,4.211,4.2576,3.8804,5.1162,4.7604,1.0462,4.9988,2.8095,3.1186,6.2411,3.0128,4.1921,1.1013,3.3365,4.8582,3.0766,5.1767,7.0841,5.8259,3.1894,3.9188,4.5648,4.168,6.5815,2.614,2.2605,2.7707,2.8344,9.3413,3.4543,5.4935,4.3821,2.6846,0.7298,3.9068,4.7937,2.7175,6.3099,4.1046,3.8286,5.3052,6.8186,5.0496,3.4464,6.391,6.5245,6.6336,3.3975,2.6563,5.0827,2.4518,2.201,1.3036,4.322,7.15,7.9366,5.5963,3.7619,3.4924,4.1948,3.8614,4.4496,6.3421,5.398,4.0659,2.8314,4.8106,9.4932,3.5537,2.864,9.3627,3.8972,5.5876,8.7847,3.7393,5.1996,2.1466,4.3022,11.6743,7.4317,0.5349,6.3529,4.9809,4.0201,5.2735,6.5758,4.2715,3.3611,1.7847,10.3636,1.0358,2.4483,3.5704,8.0498,5.2933,4.8241,4.2165,5.9204,3.0225,6.3584,6.1174,1.9638,5.7385,2.592
2022-01-06,5.4851,5.1958,2.7341,3.9727,3.3122,4.0125,3.6468,3.5809,3.0967,4.7241,2.9324,6.8493,1.3804,4.2002,4.9809,4.385,4.4975,3.6275,4.7405,3.8733,1.6441,4.2411,3.4033,3.3403,4.6117,2.4435,4.4496,1.8313,4.5525,4.6786,4.0839,5.6622,5.4641,4.9102,3.2772,5.5531,3.9801,3.7824,7.0257,3.89,2.2573,3.1754,2.885,8.8717,4.1787,5.0132,3.6296,3.2808,1.325,6.2202,4.7737,3.1322,5.9252,4.2826,4.0378,5.9204,6.1582,3.5126,4.2938,7.1433,8.7087,7.8889,3.1667,2.712,6.4963,2.9216,3.3821,2.0084,3.5683,6.5758,7.1103,4.531,4.291,4.4825,5.7751,3.3917,4.8173,5.5876,3.8077,3.9826,3.1169,5.5531,8.8717,5.2775,3.0437,6.9177,3.2553,4.1975,8.7182,4.5928,6.4571,2.1516,6.2727,9.02,6.622,1.8994,5.3452,5.0277,3.0096,5.402,4.9666,3.9554,3.4803,2.4578,7.8889,2.013,3.8733,4.0761,7.1566,4.5218,4.8241,4.5127,5.1996,3.6948,6.3475,4.1706,1.6048,5.7159,3.2589
2022-01-07,5.3857,5.0716,2.9588,3.4924,3.6041,3.2499,4.1626,3.8239,3.7755,5.0496,3.2445,6.8555,2.9494,3.985,4.4765,3.8638,4.4555,2.4025,4.7045,4.168,1.6069,5.1996,2.4662,4.0994,4.6754,3.0469,3.878,2.1456,4.7208,5.035,4.1975,5.8259,5.7935,4.5096,3.1152,5.2814,4.152,3.7348,6.215,3.4444,2.775,3.0883,2.83,6.6511,4.0378,4.3967,3.1563,3.2863,1.3849,5.135,4.0968,2.7622,5.8681,3.9826,3.6062,5.1728,6.1073,4.4083,4.1414,5.93,8.3371,7.3264,3.4743,3.0096,5.169,3.0339,3.7438,1.4913,3.0486,7.2713,4.2938,4.4201,5.6934,3.0016,5.5104,4.2138,4.5036,6.4239,4.531,4.9242,3.1494,5.3613,8.0416,5.4893,3.5351,7.0128,4.2219,4.5249,8.3371,4.5804,5.7385,2.876,7.071,8.98,5.5876,2.1656,5.5232,5.7935,3.9261,6.6511,5.5147,3.9237,4.1787,2.8462,3.6773,1.8241,2.592,4.0454,7.9206,4.4113,4.4348,3.8426,5.0423,3.4425,8.0662,4.3107,1.8169,5.2893,3.0193
2022-01-08,4.9595,3.4623,2.5907,3.9801,3.99,3.4248,3.5167,3.0617,2.2648,4.3792,3.0161,6.7821,2.9573,3.5662,4.7405,4.571,5.25,0.5992,3.9213,4.0,1.8345,4.9737,3.065,3.6773,5.2267,2.5945,4.2743,2.9635,5.079,4.685,4.4645,5.6225,5.4767,4.2549,2.9063,4.6275,3.8852,3.1667,5.7114,3.6404,1.9682,2.7175,2.6982,9.0705,4.685,1.7579,3.0866,3.1841,1.1858,4.7013,3.8286,3.5537,5.7024,3.8497,3.8379,5.4977,5.6138,2.8037,3.948,7.1301,9.4275,6.3421,3.4033,2.962,5.7981,2.9904,3.2355,1.3866,3.7371,6.6687,5.3816,4.1493,5.4935,4.4437,5.4725,3.4863,3.89,4.963,3.9432,3.9116,2.4554,5.1087,8.542,5.4809,2.667,6.2939,3.771,4.6402,9.2775,4.4885,6.0274,3.0917,6.8802,7.8652,5.5402,2.7636,5.0827,4.4201,3.9776,5.1463,4.988,3.845,2.7369,2.9526,5.0976,1.578,2.8183,4.2659,5.9638,4.6754,4.3022,4.6657,4.9952,3.2034,6.1225,3.5725,1.9146,5.5574,4.1975
2022-01-09,3.9529,4.767,2.4483,3.1339,4.0,3.0339,2.3212,3.3215,1.2862,3.6062,2.5162,6.1276,2.8895,3.2662,3.8146,4.2083,4.6243,0.8636,4.3505,3.2827,1.8752,4.698,2.413,3.6598,5.1463,2.7594,3.5496,3.4683,5.5789,4.3908,4.1467,5.6534,5.2305,4.7339,3.4843,6.0028,4.9916,2.9793,5.6313,3.2283,2.0684,2.7202,3.3403,6.9936,5.3052,1.4697,2.4783,3.4504,1.8744,4.5804,4.6243,3.29,5.1843,3.7778,3.717,5.4392,5.1162,4.1203,3.845,6.1788,8.9701,6.6453,2.9793,2.6456,4.8173,2.4965,3.5106,2.0102,3.5704,4.7307,4.7045,4.2056,4.814,4.0684,4.9701,3.4924,4.7703,5.3776,3.9579,3.0866,2.44,4.872,8.7182,4.1046,2.7807,5.0827,3.6083,3.6318,7.0192,3.9652,5.1843,2.7425,5.0459,8.0253,5.8587,3.1511,5.0827,4.5804,3.7483,4.8824,4.5556,3.1859,3.5045,2.3557,6.9872,1.4295,2.8373,4.2466,6.5988,3.8193,4.4377,4.4555,3.8146,2.9494,6.0126,3.5788,1.4857,4.988,4.5463
2022-01-10,4.4083,4.8548,2.0618,2.6765,3.3403,3.1442,2.7202,3.3197,2.034,2.8081,2.7821,6.716,2.1867,2.6724,4.4615,2.9651,3.4405,1.3392,4.048,3.1271,2.2268,3.2301,2.1736,3.0339,5.0459,2.6403,3.1425,2.2723,3.6318,3.7939,3.4703,4.0201,4.8241,4.5157,2.5676,4.1626,3.4683,2.8329,5.3452,2.7594,1.2635,2.5361,3.0388,6.7101,4.1282,1.0678,2.2342,2.5002,1.8944,3.2248,3.529,3.1356,4.0761,3.6083,3.3725,5.25,5.2814,2.7523,3.5537,5.93,6.8616,5.6667,3.1203,2.4686,4.8651,2.4831,2.9078,2.2041,2.358,5.3694,4.6561,3.56,4.5371,3.948,4.3447,3.1876,5.1463,4.5772,3.7939,2.8447,2.349,4.4975,8.1827,4.2549,2.686,4.9666,3.0048,3.5372,6.8247,3.8497,4.8582,2.3367,5.1162,6.9808,4.5897,2.9604,2.9651,4.5249,3.9432,4.2274,4.3476,3.7529,3.1894,2.0111,5.605,2.1827,2.3367,2.6245,4.3677,3.3802,4.0429,3.7847,3.7664,2.9777,6.2516,3.5914,1.3607,4.3476,4.0327
2022-01-11,4.7971,4.2659,2.7216,2.643,3.5025,2.6738,3.0437,3.2265,2.9698,3.7037,2.864,6.278,2.775,3.6642,3.9751,3.8356,3.9116,2.3591,4.0556,3.8972,0.873,4.9773,2.9293,3.0209,4.7078,2.4294,2.9047,3.3122,4.3706,4.1894,3.8948,4.6915,4.7803,4.2798,4.3305,4.698,4.291,2.6417,4.7504,3.0404,1.574,2.6377,2.667,7.1833,4.9102,1.5323,2.4662,2.5842,1.3602,4.6465,4.0994,2.9494,4.8343,3.3029,3.5045,5.12,5.215,4.0942,4.2029,6.0522,7.2781,6.0323,3.2194,3.1408,5.2972,2.5537,3.4883,2.2701,3.1085,5.9881,4.8824,3.5788,4.7208,1.2925,4.9773,3.3917,4.0454,4.7837,3.4903,3.5331,2.6496,4.4975,7.5985,4.1151,2.811,5.3452,3.2463,3.649,6.3206,3.6041,5.1996,2.9557,6.1839,7.5837,5.4977,3.2034,4.6593,4.0505,3.6685,4.8411,4.2301,3.3516,2.6819,2.5261,6.5245,2.3422,2.3841,3.5455,6.1736,3.6598,4.152,4.6402,4.8651,2.9293,7.6059,3.7529,1.4582,4.7339,3.9751
